trend_id,date,platform,keyword,post_text,hashtags
21,2025-09-14 7:00,googlenews,다이어트 유산균,"장점이 넘치는 양배추, 특히 아침 공복에 먹으면 더 좋은 이유 - 위키트리
https://news.google.com/rss/articles/CBMiVkFVX3lxTE9pcWpIWnlmYnFxbkh1aUMxTFJEYldwUlI1VVROTFM1MHkzTEE2cUZDMTk5bWJDWGVmaTJfaGQ4V3JSQnRTV1N5UHBDZUM0MTZhd0xVbzN3?oc=5",
22,2025-09-11 7:00,googlenews,다이어트 유산균,"“김치가 만병통치약 맞네”… 궤양성 대장염도 잡는다 - v.daum.net
https://news.google.com/rss/articles/CBMiT0FVX3lxTE9XSUMyXzBicjFUVWlBOVhRa3l3Ykw4T3hEWFRzU0RXeVlQVmh3YmUyN1NFQllPQjN6TnFXTEEzeS1sWVVjaTJpWjJTZ2JpNk0?oc=5",
23,2025-09-11 4:46,googlenews,다이어트 유산균,"정선희, 10월 13일 마라톤 도전…“설인아 보고 자극받았다” - 매일경제
https://news.google.com/rss/articles/CBMiRkFVX3lxTE1ZWHlVMDRqSENjUzJvUXpDYlNBUHlxa2M1bURmMzlhRjU5eHJ2N192Nkxsb250U09xQUQ4WkEtV0ZnbEJWQlE?oc=5",
24,2025-09-10 7:00,googlenews,다이어트 유산균,"곰팡이 혼입으로 인한 회수명령, 법적 근거가 명확한가 - 식품저널 foodnews
https://news.google.com/rss/articles/CBMibkFVX3lxTE9ZNmJOb1lXZTNfdVlfS2p0OGlDX2hsNVpCQnZ2NUs0RGhBSEllcWx2X3dmR3dWYUh0eE5MYThSMThCRkR5ZUlGZlNWMDRnMmIweXNIaUlDdndkbExNRlhPdDBucnVkTWZWQzFFNnZR?oc=5",
25,2025-09-09 7:00,googlenews,다이어트 유산균,"맹승지, 식단과 물·유산균 관리로 10kg 감량…볼륨감은 그대로 - 한국투데이
https://news.google.com/rss/articles/CBMiakFVX3lxTE5DRnkydUhYR2h2NVJ3U2ZXTm9nRVVPb1BkM3FSWVJtUGg2RDVEc3NPdjNHcncxWk0wU0JCa3pha3dJWWlnRWR5QTNrdml4NkdybHZ3WkxSODMwNWppc2pKLXZraGczY0xDcHfSAW5BVV95cUxNSmhDc3h2alRFcHRsdjZqMnZMYXdKYzJqa2dKdW9vMjJGNHJiUDBTUEZUV2JsUHpuaC0wT1FaVkVlblNVTTk5VDVMUHU4MVNwRUd2MTYzdmN5TndPUmFkSTFNcS1ySjhZRExoM3VFZw?oc=5",
26,2025-09-09 7:00,googlenews,다이어트 유산균,"2025 올해의 브랜드 대상 ? 건강 부문 수상자 인터뷰 - 한국경제
https://news.google.com/rss/articles/CBMiWkFVX3lxTE13b2ZHaFltb2dMazJhc2dDeEVoQnlxMVlDMGREdUV5cUZSa3JxOFEtNmN2dlByZG9URVNZX0Y5enJXYWVjODBfSGx5U0RmemtDOEtLX0VLVklnQdIBVEFVX3lxTFBVcFdJdXJvTzd2WGl6WjZ1bFctdzREV05hRUJSSWl5SmhQZGRjUnU1WEpLdzJUQnlSVUNRaFFuelZaYVlLampyTnR5bllROUY4M3VROA?oc=5",
27,2025-09-09 7:00,googlenews,다이어트 유산균,"2025 올해의 브랜드 대상 ? 중국/베트남/인도네시아 부문 수상자 인터뷰 - 한국경제
https://news.google.com/rss/articles/CBMiWkFVX3lxTE5ORTZvcmhobUZGUExSMmVQYVFfNG04Qi1oTU1wWGRPWVY4ZVB5RjEyZy05dzR5ZUF6OEpEQ3dKb2ctaGxaOTFDRTBWZ2dNNnJad2FIcTA1THlaZ9IBVEFVX3lxTFB3LXdtZER5ZjFnQURXcFlNam1oRVV2S2tMb2JYRXoydF9WWEdBd1hPTUFSTW5sQkVtQWFvZXlOME5fVzhqTXY0aEE4VXdkUGZEX3gwag?oc=5",
28,2025-09-03 7:00,googlenews,다이어트 유산균,"비에날씬, 다이어트 유산균 시장 ‘독보적 1위’ 입증 - 조선일보
https://news.google.com/rss/articles/CBMijgFBVV95cUxNc2ZhRWJaSzZwcUR0Uk5nLTd0ZzN6S1ZGcWszZlNWQzZJb1VUVk1wTUhBN2RxaEhTZ1ZJN2R3N3BNYnJORjBhRkZrakloTzNMV1RnWGk0a3V0NzRiVnRudmtFdGxxQTNuTG5HZnl6NWY5RGRocGl5bW1JWjR6V1ktS0xrQ3pNTk53Q2xsdDRn0gGiAUFVX3lxTE9vZDVzeGdrUlRwV3c2RVQ2d08tbUVSR05vZlBFOE1MR3VLZDhyMmxHZDFwUnN3c0J3UzBnQklQLWpHS3V2SVFrR0ViNkJtZWZMSE03aGdyNWo2djRYZjJVV3R1V3h4TE9jYlR6VDN2bjFsUUN1cHJCbFhVblRuNDNwclVVSEQtS0xZaElRdXVoc1hzbkxKMHYzMFpGd2NyR3Nvdw?oc=5",
29,2025-09-03 7:00,googlenews,다이어트 유산균,"추석 '이색 선물'은 편의점... '가성비·프리미엄' 잡았다 - 월요신문
https://news.google.com/rss/articles/CBMiakFVX3lxTE9kVWZQWkd3dW9RaFBEbkxvTUZka2dfajNMUHpYWmJsMXRZZ0FFOElwM0NiM3JaOTZYNmN4WUt2bHh4OENHalFSNDhCRmhiWHM2T0xaeW1EZkJ0a3pCMnp5dHp1anZuQWtjdVE?oc=5",
30,2025-09-02 7:00,googlenews,다이어트 유산균,"바이오니아 자회사 에이스바이옴, 올해의 브랜드 대상 - 헬로디디
https://news.google.com/rss/articles/CBMiakFVX3lxTE1zaEFmQTFxbk5iNnBZN0hUMy1PTjQ0M1JDRU1zNjJ0NHZOQlFuRThoZnlQTXhhV2ZnUDRySUE4SkVVV09EZk45SFNOVmplSkl4RHRwVEl1Nl9rU3ZNRHBHNVVhdDlKOFU3NFE?oc=5",
