Date,콜라겐,아르기닌,단백질보충제,단백질쉐이크,알파cd
2025-03-18,17.74895,19.8616,8.25351,19.68745,23.82567
2025-03-19,15.04972,19.18335,8.16644,17.83602,15.51716
2025-03-20,14.26149,18.30346,7.76316,18.51427,12.6392
2025-03-21,13.38618,17.51065,6.02172,16.00751,19.36208
2025-03-22,12.74918,14.60061,6.31043,12.41922,34.92048
2025-03-23,11.82347,15.23761,7.79982,16.69492,5.8659
2025-03-24,17.33651,32.45955,8.20768,22.74872,16.6995
2025-03-25,14.53645,29.66408,8.12061,19.87993,34.11392
2025-03-26,12.92791,26.79987,7.79524,18.08349,14.72893
2025-03-27,14.93973,23.40406,7.68984,18.94505,34.16433
2025-03-28,11.71348,19.00921,11.1773,15.26052,11.52559
2025-03-29,13.36327,15.77379,10.92067,12.96457,48.57705
2025-03-30,14.63727,16.77741,10.70986,16.51619,15.77379
2025-03-31,11.92429,18.98629,10.1691,20.93396,23.77526
2025-04-01,13.15246,19.28417,8.17561,21.67178,12.06635
2025-04-02,14.59603,19.27959,7.73108,19.67829,72.53563
2025-04-03,14.1515,20.02657,7.42404,18.40428,55.07996
2025-04-04,12.50171,18.5051,5.66426,14.50437,56.14774
2025-04-05,11.94262,15.37509,5.42138,13.20746,13.43659
2025-04-06,12.10302,16.03042,6.53498,15.3201,18.78465
2025-04-07,13.487,18.7984,7.8319,18.89464,8.71637
2025-04-08,14.61436,21.31433,8.30851,19.31167,40.2548
2025-04-09,14.56853,23.03744,8.72095,21.54346,18.22097
2025-04-10,12.99665,20.13656,7.91439,18.11099,15.21011
2025-04-11,12.32757,17.2586,6.69996,14.98556,12.26799
2025-04-12,11.90596,15.39342,5.69634,15.34301,40.41061
2025-04-13,17.33651,14.9489,5.94381,17.09362,7.60735
2025-04-14,16.08083,18.93588,7.31863,22.73498,14.16525
2025-04-15,12.88666,20.04949,7.15824,21.09435,31.49259
2025-04-16,13.43201,20.50776,7.52027,20.16406,37.79386
