순번,기록일시,날짜,검색키워드,출처포털,출처,제목,기사평가,기사평가근거요약,링크
21,2025-09-25 13:58:47,2025-09-02 07:00,다이어트 유산균,구글뉴스,머니투데이,"에이스바이옴, '비에날씬'으로 韓·中 올해의 브랜드 대상 석권 - 머니투데이",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiZkFVX3lxTE5falZoWFpibF9BZ0NaYklxcXcyMmxLeTgxNTFzVTBkWGlBWVRIeWI3UnhraXU4cDNuNTE3cHRibVRiaG9BbXlpMjZLRzB2OFNJOElBLXhWSnVpdVE5NE5jS3pfbEd6QdIBbkFVX3lxTFB2UDBEdHkxSzNRaWN2TVpzTnFhRVF3VWkxNlhTUE5RMXJQRm5mRzdEdkZ4MGFjWEpnU3Vra0FEMG00THRFN2FHVFFyT0FWS1VDTjVvVU45MVd4cllxNGdsU2ZEQ3NKdzRLcXVsbDhR?oc=5
22,2025-09-25 13:58:47,2025-09-02 07:00,다이어트 유산균,구글뉴스,한국경제,"바이오니아 자회사 에이스바이옴, 2025 ‘올해의 브랜드 대상’ 국내·중국 석권 - 한국경제",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiWkFVX3lxTE95UXhCY2RkcWZ6clp4bTlxZFh4RHhkRnloSjNWUnBmakVYTW9uangtdkZGb2Y1SWoxRlBQLUFrQWxxUmJaOEtfSGFPeVFMSzkxX2tzdjZLeHM1QdIBVEFVX3lxTE5rb0NXWEd1dXBLeWViOUdPekJjM2dkR3NHYzhaWl9CWXRFTDFHWTBZRFYwU3JLTVI5RUtNY1FKMmtrRlp5dGF5VlF2RHR0RE8xWTluZg?oc=5
23,2025-09-25 13:58:47,2025-09-02 07:00,다이어트 유산균,구글뉴스,헬스조선,“아침마다 ‘이것’ 마셨다” 10kg 감량 맹승지… 다이어트 성공 비결은? - 헬스조선,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTFBRMVQ4b0RGTVIxSnRvSHpEQWxoWk1Ua19PNnBad1RBWlRzVUpWWWxzOHBJd1p6V3NjVlhDdDhnUVZkb3VGSVJJNTNaRVpKMEtzb3BLTmhEZkV2UGlGZ2xBYnZkY3pyYXRnLXIxWVJ6c0tnV0RieEE?oc=5
24,2025-09-25 13:58:47,2025-09-02 07:00,다이어트 유산균,구글뉴스,헬스조선,"“같은 사람 맞아?” 33kg 감량 김다예, 확 달라진 비주얼… 어떻게 뺐나 보니 - 헬스조선",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMidkFVX3lxTE1UaF9vemd2UmYxbzZVajlEem53Ymt0M2t1WW0yYmtaTTVORHk5bVd3SGRRbk1QUEJSMlRXSHNTTkI1bDZWMWVfdHNwYW9ocWRBWHd4bGxLOWphVG5zVUd5Y2x1ZTgwd3dqV1FQTmlaLXNrY1RlZUE?oc=5
25,2025-09-25 13:58:47,2025-08-30 07:00,다이어트 유산균,구글뉴스,위키트리,편의점이 작정했다…추석 선물세트로 나온 7500만 원짜리 '이것’ - 위키트리,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiVkFVX3lxTE1qV1FYbkdlYzhUdjdacWI1ZjA4cVdVbEN2bUZGTE80UEJxWTF5cldGOFRFSjFpOHowYm9QSTBrY1RUMnB4NkE4TVVFcVJTcmx1YXVjTVlR?oc=5
26,2025-09-25 13:58:47,2025-08-29 07:00,다이어트 유산균,구글뉴스,ebn.co.kr,[현장] 女 뷰티 vs 男 활력…쿠팡 빅데이터로 본 건기식 소비 트렌드 - ebn.co.kr,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiaEFVX3lxTFBsaVZHT05mZ1pwRlQzRzlxVmpfSHptenVrZ3pTd1BVdFZyQVlnakwtdjE3OHAzSU14VzcyQVQ2M3JsdFh5Qi1JT2RIZ0t2akdMTDZBYzdvTU5CbXAtbFFGNEtPYXRsR2dy?oc=5
27,2025-09-25 13:58:47,2025-08-28 07:00,다이어트 유산균,구글뉴스,한국경제,"BNRThin, '2025 올해의 브랜드 대상' 중국 다이어트유산균 부문 수상 - 한국경제",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiWkFVX3lxTFBDTUc2a1JiMXpwbEJRak5LSmNBZE9UNzhUaHQ3X2pGYjRKTVBrb3lBUHJjQlRRSG5MSkREUHlVT3NGNWtSODk2dWZocWI2ZDl6TTNlVWNjNmhvQdIBVEFVX3lxTE5iNElMUjJzVk4yRFVBQldJUGttVTgxUGprd2doVmhxdzhNSHlJeTk1UnEtcXV0Y2VWenBIYUpFM3RVYi1PZDlkNG9EYVh5b0g0dGFfdg?oc=5
28,2025-09-25 13:58:47,2025-08-28 07:00,다이어트 유산균,구글뉴스,국제신문,건강기능식품도 편의점 시대…가성비에 MZ세대 몰린다 - 국제신문,분석 제외,분석 제외,https://news.google.com/rss/articles/CBMijgFBVV95cUxPWkFNWkpZQkxBY2puOVlZdVZzczJBU1I3NE9fQm8tYy1pa190a0hTQ3ZXSXJnYlAzRE9aLTZ0VlBJWnhmU21HTmw1NjlsSmUwRHo2cnpPYnVBSXdSM2dsWnZDbVRqdHpGU3pqQUFubS1iMmVDVndkMDhRY19KVDNvUTR6MTNyWW8tUDdYMjln?oc=5
29,2025-09-25 13:58:47,2025-08-28 07:00,다이어트 유산균,구글뉴스,한국경제,"쿠진아트, '2025 올해의 브랜드 대상' 에어프라이어 부문 수상 - 한국경제",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiWkFVX3lxTE5oMGM4Tm94dm9KOFJkdWRaRmVtc2hsNDhZblVCVG41T1Q0SEJGWDNNQV9VZ3JfMERGak1oSDg2OWoyV3FmTTdvRXNHQ25ySzNZUGo5LWtxNzA3Z9IBVEFVX3lxTE9aTzBYZ2V6cm1yU1p0OXlHeWlVQ3FjN29INWJ3MktTbFhEVnZnWHVKa0VKSmQ0blhoVzJLNHNHR3ZXbnBtdURzN2pOWXNuUExyeEtuTQ?oc=5
30,2025-09-25 13:58:47,2025-08-28 07:00,다이어트 유산균,구글뉴스,한국경제,"ZIC, '2025 올해의 브랜드 대상' 베트남 윤활유 부문 수상 - 한국경제",분석 제외,분석 제외,https://news.google.com/rss/articles/CBMiWkFVX3lxTFBDck5idEJyYUF4ZnZPeHFlMGZhdUNrX0Q4WndTS3dLVlh5OVJEQ2pwVkhGS1FMNkJrRUxqQzdXS1hvRkhvazl6YU9aTndJbFdrMGNpWThza3N4Z9IBVEFVX3lxTFBiaFRiR0xQNjRCX2tKVVZlMTVWdXZDTE1sQXE2NERGZzRXUnEwVW5ZM0FMZlNCVUt6ZzJoemtPZnd1VXRrdS0zNEQ0elVvTkJwejB4cQ?oc=5
